value_date,narration,debit,credit,balance
22/07/2026,  MPS/YkVisj/RAZORPAY SOFTWARE PVT LTD  ,,166.83,"50,30,197.38"
23/07/2026,NEFT/RAZORPAY/069adP/SETTLEMENT,,28.44,"50,30,225.82"
23/07/2026,RTGS/6xsmR3/RAZORPAY/COLLECTION,,32.06,"50,30,257.88"
23/07/2026,NEFT-RAZORPAY-9BE0b8-SETTLEMENT,,250.04,"50,30,507.92"
23/07/2026,NEFT/RAZORPAY/c5VLhP/SETTLEMENT,,137.56,"50,30,645.48"
23/07/2026,UPI/cA67jm/PAYMENT/REF,,"1,014.00","50,31,659.48"
23/07/2026,IMPS/GGCZam/RZPY/CR,,100.54,"50,31,760.02"
23/07/2026,BY TRANSFER-NEFT*NTsvmG*RAZORPAY SOFTWARE,,35.11,"50,31,795.13"
23/07/2026,  MPS/OXh39G/RAZORPAY SOFTWARE PVT LTD  ,,275.91,"50,32,071.04"
23/07/2026,NEFT/RAZORPAY/qxG8Uk/SETTLEMENT,,275.24,"50,32,346.28"
23/07/2026,NEFT/RAZORPAY/Tvu4NH/SETTLEMENT,,66.07,"50,32,412.35"
23/07/2026,TRF FROM RAZORPAY REF VgYreh DT 23/07,,148.40,"50,32,560.75"
23/07/2026,UPI/XcmIPl/PAYMENT/REF,,58.45,"50,32,619.20"
23/07/2026,RTGS/ydhLDS/RAZORPAY/COLLECTION,,43.05,"50,32,662.25"
23/07/2026,BY TRANSFER-NEFT*ZIuHBv*RAZORPAY SOFTWARE,,50.50,"50,32,712.75"
23/07/2026,RTGS/ZXRiru/RAZORPAY/COLLECTION,,79.23,"50,32,791.98"
24/07/2026,BY TRANSFER-NEFT*0J7M1a*RAZORPAY SOFTWARE,,130.01,"50,32,921.99"
24/07/2026,NEFT/RAZORPAY/5CfkmA/SETTLEMENT,,19.51,"50,32,941.50"
24/07/2026,NEFT/RAZORPAY/7NkLar/SETTLEMENT,,38.67,"50,32,980.17"
24/07/2026,  MPS/dv1lkT/RAZORPAY SOFTWARE PVT LTD  ,,99.32,"50,33,079.49"
24/07/2026,NEFT/RAZORPAY/eaICs2/SETTLEMENT,,6.27,"50,33,085.76"
24/07/2026,NEFT-RAZORPAY-iDm511-SETTLEMENT,,31.34,"50,33,117.10"
24/07/2026,NEFT-RAZORPAY-KSNtDB-SETTLEMENT,,11.54,"50,33,128.64"
24/07/2026,IMPS/LFzXF8/RZPY/CR,,80.33,"50,33,208.97"
24/07/2026,TRF FROM RAZORPAY REF mk765b DT 24/07,,58.23,"50,33,267.20"
24/07/2026,NEFT/RAZORPAY/mRaWo6/SETTLEMENT,,120.58,"50,33,387.78"
24/07/2026,TRF FROM RAZORPAY REF PAYBVUJQ DT 24/07,,293.69,"50,33,681.47"
24/07/2026,NEFT-RAZORPAY-PAYE5CLB-SETTLEMENT,,45.57,"50,33,727.04"
24/07/2026,NEFT-RAZORPAY-PAYZTDW4-SETTLEMENT,,75.56,"50,33,802.60"
24/07/2026,UPI/pjqmAQ/PAYMENT/REF,,271.98,"50,34,074.58"
24/07/2026,NEFT-RAZORPAY-R2z7Wu-SETTLEMENT,,56.48,"50,34,131.06"
24/07/2026,  MPS/R5Oys2/RAZORPAY SOFTWARE PVT LTD  ,,170.95,"50,34,302.01"
24/07/2026,IMPS/R9j688/RZPY/CR,,96.67,"50,34,398.68"
24/07/2026,TRF FROM RAZORPAY REF UD3kuu DT 24/07,,56.04,"50,34,454.72"
24/07/2026,IMPS/UkbudP/RZPY/CR,,143.78,"50,34,598.50"
24/07/2026,UPI/V0KGH7/PAYMENT/REF,,61.70,"50,34,660.20"
25/07/2026,IMPS/4hRQVk/RZPY/CR,,5.08,"50,34,665.28"
25/07/2026,TRF FROM RAZORPAY REF 9SAafL DT 25/07,,29.70,"50,34,694.98"
25/07/2026,RTGS/DSAQES/RAZORPAY/COLLECTION,,14.16,"50,34,709.14"
25/07/2026,NEFT/RAZORPAY/FOuvNh/SETTLEMENT,,32.72,"50,34,741.86"
25/07/2026,UPI/Fz1VVQ/PAYMENT/REF,,63.80,"50,34,805.66"
25/07/2026,RTGS/iKBcfs/RAZORPAY/COLLECTION,,114.64,"50,34,920.30"
25/07/2026,BY TRANSFER-NEFT*InoRxA*RAZORPAY SOFTWARE,,147.02,"50,35,067.32"
25/07/2026,NEFT-RAZORPAY-mDLair-SETTLEMENT,,51.63,"50,35,118.95"
25/07/2026,RTGS/PAY7QLGJ/RAZORPAY/COLLECTION,,43.16,"50,35,162.11"
25/07/2026,  MPS/pS6tDY/RAZORPAY SOFTWARE PVT LTD  ,,27.16,"50,35,189.27"
25/07/2026,TRF FROM RAZORPAY REF Qgcnoo DT 25/07,,11.01,"50,35,200.28"
25/07/2026,  MPS/QOPozl/RAZORPAY SOFTWARE PVT LTD  ,,9.35,"50,35,209.63"
25/07/2026,RTGS/Rd4r2a/RAZORPAY/COLLECTION,,16.68,"50,35,226.31"
25/07/2026,TRF FROM RAZORPAY REF rfnd_ciXkB6 DT 25/07,19.39,,"50,35,206.92"
25/07/2026,  MPS/vym093/RAZORPAY SOFTWARE PVT LTD  ,,82.62,"50,35,289.54"
25/07/2026,NEFT/RAZORPAY/vym093/SETTLEMENT,,82.62,"50,35,372.16"
25/07/2026,BY TRANSFER-NEFT*XJPnlc*RAZORPAY SOFTWARE,,13.36,"50,35,385.52"
25/07/2026,NEFT/RAZORPAY/xvuM1S/SETTLEMENT,,56.68,"50,35,442.20"
25/07/2026,TRF FROM RAZORPAY REF ZwWQe3 DT 25/07,,8.21,"50,35,450.41"
26/07/2026,BY TRANSFER-NEFT*2w20z9*RAZORPAY SOFTWARE,,14.82,"50,35,465.23"
26/07/2026,TRF FROM RAZORPAY REF 4VgNo3 DT 26/07,,37.25,"50,35,502.48"
26/07/2026,NEFT/RAZORPAY/ITbQxr/SETTLEMENT,,12.21,"50,35,514.69"
26/07/2026,RTGS/J1w1Vp/RAZORPAY/COLLECTION,,54.68,"50,35,569.37"
26/07/2026,UPI/lrYkRr/PAYMENT/REF,,9.74,"50,35,579.11"
26/07/2026,UPI/oRUYUa/PAYMENT/REF,,81.92,"50,35,661.03"
26/07/2026,UPI/PBm793/PAYMENT/REF,,46.35,"50,35,707.38"
26/07/2026,NEFT/RAZORPAY/qx0YjU/SETTLEMENT,,32.79,"50,35,740.17"
26/07/2026,  MPS/rCfsfa/RAZORPAY SOFTWARE PVT LTD  ,,46.13,"50,35,786.30"
26/07/2026,RTGS/RwEfKC/RAZORPAY/COLLECTION,,157.15,"50,35,943.45"
26/07/2026,IMPS/v74Wxv/RZPY/CR,,60.44,"50,36,003.89"
26/07/2026,NEFT-RAZORPAY-VcDeJf-SETTLEMENT,,82.94,"50,36,086.83"
26/07/2026,NEFT/RAZORPAY/wMIxPs/SETTLEMENT,,28.75,"50,36,115.58"
26/07/2026,RTGS/XOq115/RAZORPAY/COLLECTION,,175.26,"50,36,290.84"
26/07/2026,IMPS/ypivhT/RZPY/CR,,56.41,"50,36,347.25"
26/07/2026,UPI/ZFac2m/PAYMENT/REF,,13.56,"50,36,360.81"
27/07/2026,  MPS/C8BZIW/RAZORPAY SOFTWARE PVT LTD  ,,139.88,"50,36,500.69"
27/07/2026,IMPS/H05ZBk/RZPY/CR,,396.18,"50,36,896.87"
27/07/2026,RTGS/hCaUxt/RAZORPAY/COLLECTION,,20.35,"50,36,917.22"
27/07/2026,RTGS/hSEEi0/RAZORPAY/COLLECTION,,89.56,"50,37,006.78"
27/07/2026,BY TRANSFER-NEFT*iJCBVb*RAZORPAY SOFTWARE,,65.88,"50,37,072.66"
27/07/2026,NEFT-RAZORPAY-JF8bHi-SETTLEMENT,,88.74,"50,37,161.40"
27/07/2026,UPI/jQlJsG/PAYMENT/REF,,13.94,"50,37,175.34"
27/07/2026,UPI/lEurMG/PAYMENT/REF,,109.60,"50,37,284.94"
27/07/2026,NEFT-RAZORPAY-mkeuAP-SETTLEMENT,,21.79,"50,37,306.73"
27/07/2026,  MPS/N8xKtY/RAZORPAY SOFTWARE PVT LTD  ,,29.39,"50,37,336.12"
27/07/2026,TRF FROM RAZORPAY REF rfnd_dv1lkT DT 27/07,62.54,,"50,37,273.58"
27/07/2026,NEFT-RAZORPAY-ROlHas-SETTLEMENT,,253.45,"50,37,527.03"
27/07/2026,IMPS/tMjoh7/RZPY/CR,,73.87,"50,37,600.90"
27/07/2026,NEFT/RAZORPAY/tVZuGG/SETTLEMENT,,6.37,"50,37,607.27"
27/07/2026,RTGS/vrvC6D/RAZORPAY/COLLECTION,,16.38,"50,37,623.65"
27/07/2026,BY TRANSFER-NEFT*WEPBKN*RAZORPAY SOFTWARE,,64.14,"50,37,687.79"
27/07/2026,NEFT/RAZORPAY/ZEsgll/SETTLEMENT,,60.39,"50,37,748.18"
27/07/2026,NEFT/RAZORPAY/Zl4Fom/SETTLEMENT,,94.50,"50,37,842.68"
27/07/2026,TRF FROM RAZORPAY REF zxSHda DT 27/07,,43.72,"50,37,886.40"
28/07/2026,NEFT-RAZORPAY-1VRdpd-SETTLEMENT,,144.74,"50,38,031.14"
28/07/2026,TRF FROM RAZORPAY REF 3hZjsx DT 28/07,,156.33,"50,38,187.47"
28/07/2026,TRF FROM RAZORPAY REF 5o2E9b DT 28/07,,19.78,"50,38,207.25"
28/07/2026,UPI/73JZdb/PAYMENT/REF,,145.81,"50,38,353.06"
28/07/2026,NEFT/RAZORPAY/BrPRPQ/SETTLEMENT,,26.09,"50,38,379.15"
28/07/2026,  MPS/dhp39d/RAZORPAY SOFTWARE PVT LTD  ,,17.87,"50,38,397.02"
28/07/2026,UPI/DmJI31/PAYMENT/REF,,929.51,"50,39,326.53"
28/07/2026,BY TRANSFER-NEFT*DoDUS9*RAZORPAY SOFTWARE,,152.99,"50,39,479.52"
28/07/2026,  MPS/hH1uiY/RAZORPAY SOFTWARE PVT LTD  ,,5.48,"50,39,485.00"
28/07/2026,RTGS/Ii5dya/RAZORPAY/COLLECTION,,10.65,"50,39,495.65"
28/07/2026,IMPS/LPnDiT/RZPY/CR,,37.14,"50,39,532.79"
28/07/2026,  MPS/MkayFE/RAZORPAY SOFTWARE PVT LTD  ,,39.45,"50,39,572.24"
28/07/2026,IMPS/R2edQ4/RZPY/CR,,28.04,"50,39,600.28"
28/07/2026,TRF FROM RAZORPAY REF R74tfV DT 28/07,,121.12,"50,39,721.40"
28/07/2026,TRF FROM RAZORPAY REF SY4m91 DT 28/07,,242.95,"50,39,964.35"
28/07/2026,UPI/Ug0fos/PAYMENT/REF,,56.63,"50,40,020.98"
28/07/2026,BY TRANSFER-NEFT*uo82KC*RAZORPAY SOFTWARE,,4.56,"50,40,025.54"
28/07/2026,TRF FROM RAZORPAY REF VVmemg DT 28/07,,13.12,"50,40,038.66"
28/07/2026,TRF FROM RAZORPAY REF xKXH6r DT 28/07,,8.06,"50,40,046.72"
28/07/2026,RTGS/XN8UPz/RAZORPAY/COLLECTION,,133.66,"50,40,180.38"
29/07/2026,NEFT/RAZORPAY/3Hs9eG/SETTLEMENT,,3.81,"50,40,184.19"
29/07/2026,RTGS/7z6qqJ/RAZORPAY/COLLECTION,,84.37,"50,40,268.56"
29/07/2026,IMPS/E9WME6/RZPY/CR,,121.64,"50,40,390.20"
29/07/2026,UPI/faCznL/PAYMENT/REF,,173.06,"50,40,563.26"
29/07/2026,IMPS/FI7Ga3/RZPY/CR,,62.90,"50,40,626.16"
29/07/2026,TRF FROM RAZORPAY REF fqGHYg DT 29/07,,527.31,"50,41,153.47"
29/07/2026,BY TRANSFER-NEFT*L9XziM*RAZORPAY SOFTWARE,,112.33,"50,41,265.80"
29/07/2026,NEFT/RAZORPAY/LcXwrw/SETTLEMENT,,191.09,"50,41,456.89"
29/07/2026,  MPS/LT232F/RAZORPAY SOFTWARE PVT LTD  ,,11.41,"50,41,468.30"
29/07/2026,NEFT-RAZORPAY-LYYSGb-SETTLEMENT,,57.20,"50,41,525.50"
29/07/2026,NEFT-RAZORPAY-m3NX5j-SETTLEMENT,,24.07,"50,41,549.57"
29/07/2026,UPI/nELaoL/PAYMENT/REF,,344.84,"50,41,894.41"
29/07/2026,UPI/O8L5AZ/PAYMENT/REF,,29.34,"50,41,923.75"
29/07/2026,TRF FROM RAZORPAY REF PAY4FRJY DT 29/07,,29.52,"50,41,953.27"
29/07/2026,NEFT/RAZORPAY/PAYAAS5U/SETTLEMENT,,58.13,"50,42,011.40"
29/07/2026,UPI/PAYFH2B8/PAYMENT/REF,,265.13,"50,42,276.53"
29/07/2026,TRF FROM RAZORPAY REF PAYSWVAB DT 29/07,,16.25,"50,42,292.78"
29/07/2026,NEFT-RAZORPAY-pXEeE7-SETTLEMENT,,9.60,"50,42,302.38"
29/07/2026,UPI/SfHnBQ/PAYMENT/REF,,37.08,"50,42,339.46"
29/07/2026,UPI/TNvuMo/PAYMENT/REF,,30.40,"50,42,369.86"
30/07/2026,NEFT/RAZORPAY/2EI77x/SETTLEMENT,,39.48,"50,42,409.34"
30/07/2026,UPI/6gl9kh/PAYMENT/REF,,18.39,"50,42,427.73"
30/07/2026,  MPS/7WChdX/RAZORPAY SOFTWARE PVT LTD  ,,39.96,"50,42,467.69"
30/07/2026,UPI/ecw5zQ/PAYMENT/REF,,14.12,"50,42,481.81"
30/07/2026,NEFT/RAZORPAY/EVbLgY/SETTLEMENT,,719.55,"50,43,201.36"
30/07/2026,IMPS/hRV7oj/RZPY/CR,,9.08,"50,43,210.44"
30/07/2026,BY TRANSFER-NEFT*in4dAU*RAZORPAY SOFTWARE,,92.84,"50,43,303.28"
30/07/2026,UPI/lf04Lb/PAYMENT/REF,,107.27,"50,43,410.55"
30/07/2026,TRF FROM RAZORPAY REF LRZZpQ DT 30/07,,14.02,"50,43,424.57"
30/07/2026,IMPS/pkgrxm/RZPY/CR,,26.54,"50,43,451.11"
30/07/2026,RTGS/Tb0Oaj/RAZORPAY/COLLECTION,,71.71,"50,43,522.82"
30/07/2026,TRF FROM RAZORPAY REF u7WdHc DT 30/07,,18.35,"50,43,541.17"
30/07/2026,BY TRANSFER-NEFT*uKGhfp*RAZORPAY SOFTWARE,,83.03,"50,43,624.20"
30/07/2026,TRF FROM RAZORPAY REF vqDxCW DT 30/07,,65.99,"50,43,690.19"
30/07/2026,NEFT-RAZORPAY-xpP9SN-SETTLEMENT,,152.99,"50,43,843.18"
30/07/2026,  MPS/xZ6Oqk/RAZORPAY SOFTWARE PVT LTD  ,,6.64,"50,43,849.82"
30/07/2026,NEFT-RAZORPAY-YdCeR5-SETTLEMENT,,190.01,"50,44,039.83"
30/07/2026,  MPS/z9v95b/RAZORPAY SOFTWARE PVT LTD  ,,7.83,"50,44,047.66"
31/07/2026,UPI/77rfgc/PAYMENT/REF,,171.96,"50,44,219.62"
31/07/2026,IMPS/a315xN/RZPY/CR,,36.53,"50,44,256.15"
31/07/2026,NEFT-RAZORPAY-C15uIq-SETTLEMENT,,28.62,"50,44,284.77"
31/07/2026,  MPS/EtC4qk/RAZORPAY SOFTWARE PVT LTD  ,,6.91,"50,44,291.68"
31/07/2026,NEFT-RAZORPAY-gM4Kmx-SETTLEMENT,,161.45,"50,44,453.13"
31/07/2026,UPI/GxMYnD/PAYMENT/REF,,96.36,"50,44,549.49"
31/07/2026,  MPS/i6Yqf1/RAZORPAY SOFTWARE PVT LTD  ,,184.12,"50,44,733.61"
31/07/2026,NEFT-RAZORPAY-OTvJ6S-SETTLEMENT,,179.16,"50,44,912.77"
31/07/2026,IMPS/PAYFRTXP/RZPY/CR,,120.49,"50,45,033.26"
31/07/2026,UPI/rfnd_E9WME6/PAYMENT/REF,65.60,,"50,44,967.66"
31/07/2026,NEFT/RAZORPAY/rfnd_KSNtDB/SETTLEMENT,7.44,,"50,44,960.22"
31/07/2026,RTGS/Rz2b5f/RAZORPAY/COLLECTION,,252.06,"50,45,212.28"
31/07/2026,  MPS/tqygug/RAZORPAY SOFTWARE PVT LTD  ,,57.72,"50,45,270.00"
31/07/2026,TRF FROM RAZORPAY REF VnImoa DT 31/07,,197.37,"50,45,467.37"
31/07/2026,UPI/W6e70j/PAYMENT/REF,,13.58,"50,45,480.95"
31/07/2026,IMPS/wiENOq/RZPY/CR,,94.93,"50,45,575.88"
31/07/2026,TRF FROM RAZORPAY REF wPJrfG DT 31/07,,22.18,"50,45,598.06"
31/07/2026,  MPS/WUXxfh/RAZORPAY SOFTWARE PVT LTD  ,,34.11,"50,45,632.17"
31/07/2026,IMPS/z17TdG/RZPY/CR,,125.35,"50,45,757.52"
31/07/2026,IMPS/zNPfCd/RZPY/CR,,36.72,"50,45,794.24"
01/08/2026,  MPS/11wpHu/RAZORPAY SOFTWARE PVT LTD  ,,26.01,"50,45,820.25"
01/08/2026,NEFT/RAZORPAY/3JZP6k/SETTLEMENT,,7.58,"50,45,827.83"
01/08/2026,NEFT-RAZORPAY-a0o84v-SETTLEMENT,,150.76,"50,45,978.59"
01/08/2026,NEFT/RAZORPAY/azw5Oj/SETTLEMENT,,206.86,"50,46,185.45"
01/08/2026,IMPS/bQKP4a/RZPY/CR,,44.42,"50,46,229.87"
01/08/2026,TRF FROM RAZORPAY REF cKkwtj DT 01/08,,51.30,"50,46,281.17"
01/08/2026,  MPS/CyCcFm/RAZORPAY SOFTWARE PVT LTD  ,,13.66,"50,46,294.83"
01/08/2026,RTGS/DAuZI9/RAZORPAY/COLLECTION,,11.02,"50,46,305.85"
01/08/2026,UPI/dqfEZB/PAYMENT/REF,,148.28,"50,46,454.13"
01/08/2026,RTGS/E8kwAX/RAZORPAY/COLLECTION,,279.09,"50,46,733.22"
01/08/2026,BY TRANSFER-NEFT*FmxhM1*RAZORPAY SOFTWARE,,54.00,"50,46,787.22"
01/08/2026,UPI/h3PWVQ/PAYMENT/REF,,77.08,"50,46,864.30"
01/08/2026,  MPS/iEBNEW/RAZORPAY SOFTWARE PVT LTD  ,,25.37,"50,46,889.67"
01/08/2026,IMPS/k8lQ0H/RZPY/CR,,72.10,"50,46,961.77"
01/08/2026,NEFT/RAZORPAY/KdomQj/SETTLEMENT,,19.58,"50,46,981.35"
01/08/2026,BY TRANSFER-NEFT*KlwtbN*RAZORPAY SOFTWARE,,43.78,"50,47,025.13"
01/08/2026,UPI/kOtoT8/PAYMENT/REF,,22.73,"50,47,047.86"
01/08/2026,RTGS/lGco59/RAZORPAY/COLLECTION,,64.41,"50,47,112.27"
01/08/2026,RTGS/p4lELM/RAZORPAY/COLLECTION,,145.55,"50,47,257.82"
01/08/2026,NEFT-RAZORPAY-QkAzPM-SETTLEMENT,,7.12,"50,47,264.94"
01/08/2026,IMPS/qSSu5c/RZPY/CR,,24.56,"50,47,289.50"
01/08/2026,RTGS/rfnd_SfHnBQ/RAZORPAY/COLLECTION,10.26,,"50,47,279.24"
01/08/2026,RTGS/rxo6wf/RAZORPAY/COLLECTION,,21.80,"50,47,301.04"
01/08/2026,NEFT-RAZORPAY-syMO86-SETTLEMENT,,151.73,"50,47,452.77"
01/08/2026,BY TRANSFER-NEFT*VTsjZ6*RAZORPAY SOFTWARE,,40.52,"50,47,493.29"
01/08/2026,NEFT/RAZORPAY/VwJG7d/SETTLEMENT,,136.74,"50,47,630.03"
01/08/2026,UPI/W1qDuH/PAYMENT/REF,,11.77,"50,47,641.80"
01/08/2026,IMPS/XZBE0m/RZPY/CR,,43.35,"50,47,685.15"
02/08/2026,UPI/0j9bT6/PAYMENT/REF,,47.37,"50,47,732.52"
02/08/2026,  MPS/Ae3fOl/RAZORPAY SOFTWARE PVT LTD  ,,112.68,"50,47,845.20"
02/08/2026,RTGS/apVpmA/RAZORPAY/COLLECTION,,66.12,"50,47,911.32"
02/08/2026,UPI/BCaOBS/PAYMENT/REF,,30.70,"50,47,942.02"
02/08/2026,TRF FROM RAZORPAY REF ChyBqu DT 02/08,,50.88,"50,47,992.90"
02/08/2026,BY TRANSFER-NEFT*dcf9hM*RAZORPAY SOFTWARE,,73.65,"50,48,066.55"
02/08/2026,UPI/FTT47h/PAYMENT/REF,,43.55,"50,48,110.10"
02/08/2026,BY TRANSFER-NEFT*gjtey9*RAZORPAY SOFTWARE,,59.13,"50,48,169.23"
02/08/2026,NEFT/RAZORPAY/gSRjye/SETTLEMENT,,20.70,"50,48,189.93"
02/08/2026,NEFT/RAZORPAY/iPoTnj/SETTLEMENT,,882.26,"50,49,072.19"
02/08/2026,BY TRANSFER-NEFT*IUTVCC*RAZORPAY SOFTWARE,,4.81,"50,49,077.00"
02/08/2026,NEFT-RAZORPAY-nml7Hz-SETTLEMENT,,2.75,"50,49,079.75"
02/08/2026,NEFT/RAZORPAY/ntb4CQ/SETTLEMENT,,19.49,"50,49,099.24"
02/08/2026,UPI/NVGfyF/PAYMENT/REF,,43.60,"50,49,142.84"
02/08/2026,NEFT-RAZORPAY-o6Vszq-SETTLEMENT,,22.49,"50,49,165.33"
02/08/2026,RTGS/OOZQkY/RAZORPAY/COLLECTION,,22.11,"50,49,187.44"
02/08/2026,RTGS/QH76gw/RAZORPAY/COLLECTION,,34.35,"50,49,221.79"
02/08/2026,TRF FROM RAZORPAY REF Rpq2W3 DT 02/08,,32.16,"50,49,253.95"
02/08/2026,RTGS/SX5hAp/RAZORPAY/COLLECTION,,35.32,"50,49,289.27"
02/08/2026,RTGS/sz2la7/RAZORPAY/COLLECTION,,54.28,"50,49,343.55"
02/08/2026,UPI/UFBQxi/PAYMENT/REF,,16.35,"50,49,359.90"
02/08/2026,  MPS/V9Erte/RAZORPAY SOFTWARE PVT LTD  ,,116.81,"50,49,476.71"
02/08/2026,NEFT/RAZORPAY/yRmfId/SETTLEMENT,,95.79,"50,49,572.50"
02/08/2026,TRF FROM RAZORPAY REF YyN9af DT 02/08,,14.35,"50,49,586.85"
02/08/2026,TRF FROM RAZORPAY REF ZjLltX DT 02/08,,5.57,"50,49,592.42"
03/08/2026,UPI/Bx9Mps/PAYMENT/REF,,100.20,"50,49,692.62"
03/08/2026,RTGS/cBawxa/RAZORPAY/COLLECTION,,91.40,"50,49,784.02"
03/08/2026,UPI/D1WLfv/PAYMENT/REF,,26.04,"50,49,810.06"
03/08/2026,RTGS/fThWAt/RAZORPAY/COLLECTION,,11.13,"50,49,821.19"
03/08/2026,TRF FROM RAZORPAY REF iLGlky DT 03/08,,279.73,"50,50,100.92"
03/08/2026,TRF FROM RAZORPAY REF KDAs2M DT 03/08,,107.07,"50,50,207.99"
03/08/2026,NEFT-RAZORPAY-LOVLVu-SETTLEMENT,,441.32,"50,50,649.31"
03/08/2026,BY TRANSFER-NEFT*n3UWTN*RAZORPAY SOFTWARE,,12.82,"50,50,662.13"
03/08/2026,TRF FROM RAZORPAY REF PAYRCEFT DT 03/08,,22.50,"50,50,684.63"
03/08/2026,NEFT-RAZORPAY-PAYRFLC7-SETTLEMENT,,40.99,"50,50,725.62"
03/08/2026,RTGS/pfEA7y/RAZORPAY/COLLECTION,,307.75,"50,51,033.37"
03/08/2026,NEFT-RAZORPAY-rewxVb-SETTLEMENT,,103.76,"50,51,137.13"
03/08/2026,NEFT/RAZORPAY/S3p4fa/SETTLEMENT,,29.64,"50,51,166.77"
03/08/2026,IMPS/sZ5Ozc/RZPY/CR,,19.05,"50,51,185.82"
03/08/2026,BY TRANSFER-NEFT*vrDhFW*RAZORPAY SOFTWARE,,15.29,"50,51,201.11"
03/08/2026,IMPS/x0lfg4/RZPY/CR,,12.59,"50,51,213.70"
04/08/2026,NEFT/RAZORPAY/0BDDJh/SETTLEMENT,,50.43,"50,51,264.13"
04/08/2026,NEFT/RAZORPAY/3BBzvm/SETTLEMENT,,96.80,"50,51,360.93"
04/08/2026,NEFT-RAZORPAY-bdM1jh-SETTLEMENT,,12.96,"50,51,373.89"
04/08/2026,TRF FROM RAZORPAY REF DeKiMf DT 04/08,,6.20,"50,51,380.09"
04/08/2026,NEFT/RAZORPAY/dIL95v/SETTLEMENT,,6.01,"50,51,386.10"
04/08/2026,  MPS/F6ypxI/RAZORPAY SOFTWARE PVT LTD  ,,29.66,"50,51,415.76"
04/08/2026,  MPS/FpZ1gp/RAZORPAY SOFTWARE PVT LTD  ,,126.29,"50,51,542.05"
04/08/2026,NEFT-RAZORPAY-ij6dzN-SETTLEMENT,,6.66,"50,51,548.71"
04/08/2026,NEFT-RAZORPAY-IJUQUH-SETTLEMENT,,31.52,"50,51,580.23"
04/08/2026,IMPS/joAloj/RZPY/CR,,21.93,"50,51,602.16"
04/08/2026,RTGS/jyhXQS/RAZORPAY/COLLECTION,,178.07,"50,51,780.23"
04/08/2026,BY TRANSFER-NEFT*MeDNWW*RAZORPAY SOFTWARE,,119.79,"50,51,900.02"
04/08/2026,NEFT/RAZORPAY/mJDjkz/SETTLEMENT,,74.61,"50,51,974.63"
04/08/2026,TRF FROM RAZORPAY REF Mq4iqB DT 04/08,,32.90,"50,52,007.53"
04/08/2026,UPI/NNyFo1/PAYMENT/REF,,58.56,"50,52,066.09"
04/08/2026,UPI/nWjLiW/PAYMENT/REF,,58.40,"50,52,124.49"
04/08/2026,RTGS/ob6f8i/RAZORPAY/COLLECTION,,26.15,"50,52,150.64"
04/08/2026,  MPS/oVmTcC/RAZORPAY SOFTWARE PVT LTD  ,,58.06,"50,52,208.70"
04/08/2026,NEFT/RAZORPAY/PmNPfE/SETTLEMENT,,25.14,"50,52,233.84"
04/08/2026,RTGS/pQYnuo/RAZORPAY/COLLECTION,,80.57,"50,52,314.41"
04/08/2026,UPI/pQz2QL/PAYMENT/REF,,6.68,"50,52,321.09"
04/08/2026,  MPS/sXzA2t/RAZORPAY SOFTWARE PVT LTD  ,,70.14,"50,52,391.23"
04/08/2026,NEFT-RAZORPAY-tvStWl-SETTLEMENT,,18.67,"50,52,409.90"
04/08/2026,UPI/tWM1kB/PAYMENT/REF,,25.88,"50,52,435.78"
04/08/2026,UPI/Um55nM/PAYMENT/REF,,277.48,"50,52,713.26"
04/08/2026,NEFT/RAZORPAY/vDDOxF/SETTLEMENT,,57.34,"50,52,770.60"
04/08/2026,NEFT/RAZORPAY/WhqwK5/SETTLEMENT,,14.66,"50,52,785.26"
04/08/2026,IMPS/WqFRHs/RZPY/CR,,28.61,"50,52,813.87"
05/08/2026,  MPS/31H3Oy/RAZORPAY SOFTWARE PVT LTD  ,,39.68,"50,52,853.55"
05/08/2026,NEFT/RAZORPAY/d0nY4o/SETTLEMENT,,134.62,"50,52,988.17"
05/08/2026,NEFT-RAZORPAY-DRiT7d-SETTLEMENT,,34.15,"50,53,022.32"
05/08/2026,BY TRANSFER-NEFT*DYJfE1*RAZORPAY SOFTWARE,,65.30,"50,53,087.62"
05/08/2026,BY TRANSFER-NEFT*E1NXlj*RAZORPAY SOFTWARE,,15.60,"50,53,103.22"
05/08/2026,NEFT/RAZORPAY/GpdyLJ/SETTLEMENT,,25.23,"50,53,128.45"
05/08/2026,BY TRANSFER-NEFT*Gym1Ev*RAZORPAY SOFTWARE,,745.87,"50,53,874.32"
05/08/2026,UPI/IQxfD7/PAYMENT/REF,,124.50,"50,53,998.82"
05/08/2026,  MPS/KV5wYX/RAZORPAY SOFTWARE PVT LTD  ,,367.14,"50,54,365.96"
05/08/2026,RTGS/lTfgfO/RAZORPAY/COLLECTION,,20.31,"50,54,386.27"
05/08/2026,NEFT/RAZORPAY/PAYJLHEF/SETTLEMENT,,27.53,"50,54,413.80"
05/08/2026,  MPS/rfnd_h3PWVQ/RAZORPAY SOFTWARE PVT LTD  ,26.89,,"50,54,386.91"
05/08/2026,NEFT-RAZORPAY-RJKP0V-SETTLEMENT,,44.44,"50,54,431.35"
05/08/2026,NEFT-RAZORPAY-Vkfgt9-SETTLEMENT,,22.75,"50,54,454.10"
05/08/2026,NEFT-RAZORPAY-WATtql-SETTLEMENT,,19.95,"50,54,474.05"
